round_epochs,loss,binary_accuracy,val_loss,val_binary_accuracy,batch_size,epochs,lr
30,0.6602553129196167,0.6330097317695618,0.6515603065490723,0.643410861492157,64,30,0.01
30,0.6611352562904358,0.6330097317695618,0.6525647044181824,0.643410861492157,32,30,0.1
20,0.6610356569290161,0.6330097317695618,0.6536145806312561,0.643410861492157,64,20,0.01
30,0.05815563350915909,0.9864077568054199,0.5301480293273926,0.9069767594337463,32,30,0.001
80,0.6604979038238525,0.6330097317695618,0.6516293287277222,0.643410861492157,4,80,0.05
60,0.0792679488658905,0.9893203973770142,0.6036487221717834,0.961240291595459,8,60,0.001
60,0.6649138331413269,0.6330097317695618,0.6551008224487305,0.643410861492157,4,60,0.1
60,0.6629791259765625,0.6330097317695618,0.658251166343689,0.643410861492157,64,60,0.1
10,0.6616382002830505,0.6330097317695618,0.6533910036087036,0.643410861492157,8,10,0.05
10,0.5153570771217346,0.7660194039344788,0.5016195774078369,0.7790697813034058,64,10,0.001
10,0.6595970988273621,0.6330097317695618,0.6541312336921692,0.643410861492157,64,10,0.05
80,0.1034940704703331,0.9873786568641663,0.9155169129371643,0.930232584476471,4,80,0.001
